
"product_name","Prime World"
"enter_pc","Persönlichen Bereich betreten"
"login","Anmelden"
"e_mail","E-Mail"
"password","Passwort"
"remember_me","Angemeldet bleiben "
"forgot_password","Passwort vergessen"
"create_account","Konto erstellen"
"enter_errors","Ich kann mich nicht einloggen."
"copyright","Alle Rechte vorbehalten. Prime World ist eine eingetragene Marke und Eigentum von <a href='http://www.nival.com/' target='_blank'>Nival</a>."
"login","Anmelden"

"change_mail_title","Meine E-Mail-Adresse ändern | Prime World"
"current_pass_label","Aktuelles Passwort:"
"new_pass_label","Neues Passwort:"
"new_pass_confirm_label","Passwort bestätigen:"
"new_email_label","Neue E-Mail-Adresse:"
"change_mail_button","E-Mail-Adresse ändern"

"change_password_title","Passwort zurücksetzen | Prime World"
"change_password_title2","Passwort ändern | Prime World"
"change_password_title_small","Passwort zurücksetzen"
"change_password_button","Passwort ändern"

"message_title","Nachricht | Prime World"
"message","Nachricht"
"confirm_fail_message","Die Registrierung konnte leider nicht abgeschlossen werden."
"confirm_fail_solution","Kontaktiere bitte für eine Lösung des Problems den <a href='http://support.zzima.com/'>Kunden-Support.</a>"
"back_button","Zurück"
"confirm_ok_message","Registrierung abgeschlossen. Willkommen bei Prime World!"

"register_title","Registrierung | Prime World"
"register","Registrierung"
"email_label","E-Mail"
"password_label","Passwort"
"birth_date_label","Geburtsdatum"
"day_label","Tag"
"month_label","Monat"
"jan_label","Januar"
"feb_label","Februar"
"mar_label","März"
"apr_label","April"
"may_label","Mai"
"jun_label","Juni"
"jul_label","Juli"
"aug_label","August"
"sep_label","September"
"oct_label","Oktober"
"nov_label","November"
"dec_label","Dezember"

"year_label","Jahr"

"gender_label","Geschlecht:"
"male_label","Männlich"
"female_label","Weiblich"

"captcha_update","Aktualisieren"
"captcha_code_label","Gib die Zeichen ein, die du auf dem Bild siehst."
"register_eula_label","Akzeptiere die Bedingungen der <a onclick='showEula(this);'>Nutzervereinbarung.</a>"

"create_account_label","Konto erstellen"
"enter_account_label","Anmelden"
"create_errors","Ich kann kein Konto erstellen."

"reset_password_title","Passwortänderung | Prime World"
"email_address_label","Deine E-Mail-Adresse"
"reset_and_send_password","Anweisungen per Email versenden"
"reset_password_label","Passwortänderung"

"password_changed_success","Passwort erfolgreich geändert."
"password_changed_error","Fehler: Passwort wurde nicht geändert."
"password_change_often","Häufiges Ändern des Passworts ist verboten."
"user_not_found","Dieser Login existiert nicht."
"password_new_sent","Anweisungen zur Änderung des Passwortes wurden an deine Email-Adresse versendet."
"email_changed_success"," Die E-Mail-Adresse ist erfolgreich geändert worden."
"email_changed_error","Fehler beim Zurücksetzen der E-Mail-Adresse."
"password_random_sent","Das Passwort wurde zurückgesetzt und ein neues an deine E-Mail-Adresse gesendet."
"password_random_error","Fehler beim Zurücksetzen des Passworts."
"email_confirm_error","Diese E-Mail-Adresse existiert nicht."
"email_confirm_success","E-Mail-Adresse bestätigt."
"registration_error","Registrierungsfehler"
"welcome_to_prime_world","Willkommen bei Prime World!"
"login_error","Anmeldungsfehler"

"err_email","Die E-Mail-Adresse ist falsch."
"err_email_req","Gib die E-Mail-Adresse ein."
"err_password_req","Gib das Passwort ein."
"err_password_to_short","Das Passwort muss mindestens 4 Zeichen enthalten."
"err_password_to_long","Das Passwort darf nicht mehr als 32 Zeichen enthalten."
"err_password_wrong_symbols","Das Passwort darf nur <br/> lateinische Zeichen und Ziffern enthalten."
"err_password_contains_email","Das Passwort enthält einen Teil der E-Mail-Adresse."
"err_passwords_do_not_match","Passwörter stimmen nicht überein. Bitte überprüfen."
"err_birth_day_not_set","Gib dein Geburtsdatum ein."
"err_birth_month_not_set","Gib deinen Geburtsmonat ein."
"err_birth_year_not_set"," Gib dein Geburtsjahr ein."
"err_wrong_date","Das Datum ist falsch."
"err_gender_not_set","Kreuze bitte dein Geschlecht an."
"err_need_accept_eula","Akzeptiere die Lizenzvereinbarung."
