
"product_name","Prime World"
"enter_pc","Enter to personal space"
"login","Sign in"
"e_mail","E-mail"
"password","Password"
"remember_me","Keep me signed in "
"forgot_password","Forgot password?"
"create_account","Create account"
"enter_errors","I can't login"
"copyright","All rights reserved. Prime World is a registered trademark and the property of <a href='http://www.nival.com/' target='_blank'>Nival</a>."
"login","Sign in"

"change_mail_title","Change my email | Prime World"
"current_pass_label","Current password:"
"new_pass_label","New Password:"
"new_pass_confirm_label","Confirm Password:"
"new_email_label","New email:"
"change_mail_button","Change email"

"change_password_title","Password reset | Prime World"
"change_password_title2","Change password | Prime World"
"change_password_title_small","Password reset"
"change_password_button","Change password"

"message_title","Message | Prime World"
"message","Message"
"confirm_fail_message","Unfortunately the registration could not be completed"
"confirm_fail_solution","Please, contact <a href="http://support.zzima.com/">client support</a> to resolve this problem"
"back_button","Go back"
"confirm_ok_message","Registration completed. Welcome to the Prime World!"

"register_title","Registration | Prime World"
"register","Registration"
"email_label","E-mail"
"password_label","Password"
"birth_date_label","Date of Birth"
"day_label","Day"
"month_label","Month"
"jan_label","January"
"feb_label","Febrary"
"mar_label","March"
"apr_label","April"
"may_label","May"
"jun_label","June"
"jul_label","July"
"aug_label","August"
"sep_label","September"
"oct_label","October"
"nov_label","November"
"dec_label","December"

"year_label","Year"

"gender_label","Gender:"
"male_label","Male"
"female_label","Female"

"captcha_update","refresh"
"captcha_code_label","Enter the symbols you see on a picture"
"register_eula_label","Accept the conditions of <a onclick='showEula(this);'>user agreement</a>"

"create_account_label","Create account"
"enter_account_label","Sign in"
"create_errors","I can't create account"

"reset_password_title","Change password | Prime World"
"email_address_label","Your e-mail adress"
"reset_and_send_password","Send the instructions per e-mail"
"reset_password_label","Change password"

"password_changed_success","Password changed successfully."
"password_changed_error","Error: password wasn't changed."
"password_change_often","Frequent password change is prohibited."
"user_not_found","This login doesn't exist"
"password_new_sent","Instructions on how to change your password have been sent to your e-mail address."
"email_changed_success"," Email was successfully changed."
"email_changed_error","Email reset error."
"password_random_sent","Password was reseted and send to your email."
"password_random_error","Password reset error."
"email_confirm_error","This email doesn't exist."
"email_confirm_success","Email confirmed."
"registration_error","Registration Error"
"welcome_to_prime_world","Welcome to the Prime World!"
"login_error","Sign-in error."

"err_email","The email is incorrect."
"err_email_req","Please, enter the email."
"err_password_req","Please, enter the password."
"err_password_to_short","Password should contain at least 4 symbols"
"err_password_to_long","Password should be less then 32 symbols"
"err_password_wrong_symbols","Password should contain <br/> only latin symbols and figures."
"err_password_contains_email","Password contains a part of email."
"err_passwords_do_not_match","Passwords do not match. Please re-check."
"err_birth_day_not_set","Please, enter your date of birth."
"err_birth_month_not_set","Please, enter your month of birth."
"err_birth_year_not_set"," Please, enter your year of birth."
"err_wrong_date","The date is incorrect."
"err_gender_not_set","Please, mark your gender."
"err_need_accept_eula","Please, accept license agreement."
