
"product_name","Prime World"
"enter_pc","Ouvrir mon espace personnel"
"login","Se connecter"
"e_mail","Adresse e-mail"
"password","Mot de passe"
"remember_me","Garder ma session active "
"forgot_password","Mot de passe oublié ?"
"create_account","Créer un compte"
"enter_errors","Connexion impossible"
"copyright","Tous droits réservés. Prime World est une marque déposée et la propriété exclusive de <a href='http://www.nival.com/' target='_blank'>Nival</a>."
"login","Se connecter"

"change_mail_title","Changer d'adresse e-mail | Prime World"
"current_pass_label","Mot de passe actuel :"
"new_pass_label","Nouveau mot de passe :"
"new_pass_confirm_label"," Confirmer votre mot de passe :"
"new_email_label","Nouvelle adresse e-mail :"
"change_mail_button","Changer d'adresse e-mail"

"change_password_title","Changer de mot de passe | Prime World"
"change_password_title2","Changer de mot de passe | Prime World"
"change_password_title_small","Changer mot de passe"
"change_password_button","Changer votre mot de passe"

"message_title","Message | Prime World"
"message","Message"
"confirm_fail_message","L'inscription n'a malheureusement pas pu être terminée."
"confirm_fail_solution","Veuillez contacter le <a href='http://support.zzima.com/'>service client</a> pour résoudre ce problème."
"back_button","Retour"
"confirm_ok_message","Inscription terminée. Bienvenue dans Prime World !"

"register_title","Inscription | Prime World"
"register","Inscription"
"email_label","Adresse e-mail"
"password_label","Mot de passe"
"birth_date_label","Date de naissance"
"day_label","Jour"
"month_label","Mois"
"jan_label","Janvier"
"feb_label","Février"
"mar_label","Mars"
"apr_label","Avril"
"may_label","Mai"
"jun_label","Juin"
"jul_label","Juillet"
"aug_label","Août"
"sep_label","Septembre"
"oct_label","Octobre"
"nov_label","Novembre"
"dec_label","Décembre"

"year_label","Année"

"gender_label","Sexe :"
"male_label","Homme"
"female_label","Femme"

"captcha_update","réactualiser"
"captcha_code_label","Saisissez les symboles affichés."
"register_eula_label","J'accepte le <a onclick='showEula(this);'>contrat de licence utilisateur</a>."

"create_account_label","Créer un compte"
"enter_account_label","Se connecter"
"create_errors","Je n'arrive pas à créer de compte."

"reset_password_title","Modification de votre mot de passe | Prime World"
"email_address_label","Votre boîte mail"
"reset_and_send_password","Envoyer les instructions par mail"
"reset_password_label","Modification de votre mot de passe"

"password_changed_success","Votre mot de passe a été changé avec succès."
"password_changed_error","Erreur : le mot de passe n'a pas été modifié."
"password_change_often","Le changement fréquent de mot de passe est interdit."
"user_not_found","Cet identifiant de connexion n'existe pas."
"password_new_sent","Les instructions de modification de votre mot de passe ont été envoyées à votre adresse mail."
"email_changed_success"," L'adresse e-mail a été correctement modifiée."
"email_changed_error","Erreur de réinitialisation du mot de passe."
"password_random_sent","Le mot de passe a été réinitialisé et envoyé à votre adresse e-mail."
"password_random_error","Erreur de réinitialisation du mot de passe."
"email_confirm_error","Adresse e-mail inconnue."
"email_confirm_success","Adresse e-mail validée."
"registration_error","Erreur d'inscription"
"welcome_to_prime_world","Bienvenue dans Prime World !"
"login_error","Erreur de connexion."

"err_email","Cette adresse e-mail n'est pas valide."
"err_email_req","Veuillez saisir votre adresse e-mail."
"err_password_req","Veuillez saisir votre mot de passe."
"err_password_to_short","Le mot de passe doit contenir 4 caractères minimum."
"err_password_to_long","Le mot de passe doit contenir 32 caractères maximum."
"err_password_wrong_symbols","Le mot de passe doit contenir <br/> uniquement des caractères alphanumériques."
"err_password_contains_email","Le mot de passe contient une partie d'adresse e-mail."
"err_passwords_do_not_match","Les mots de passe ne correspondent pas. Veuillez vérifier s'il vous plait."
"err_birth_day_not_set","Veuillez saisir votre jour de naissance."
"err_birth_month_not_set","Veuillez saisir votre mois de naissance."
"err_birth_year_not_set"," Veuillez saisir votre année de naissance."
"err_wrong_date","La date n'est pas valide."
"err_gender_not_set","Veuillez sélectionner votre sexe."
"err_need_accept_eula","Veuillez accepter le contrat de licence utilisateur."
